Statement Period,Trans Date,Posting Date,Description,Amount ($)
"Mar. 21, 2026 - Apr. 20, 2026",Mar. 25,Mar. 25,PAYMENT RECEIVED-THANK YOU,-20.0
"Mar. 21, 2026 - Apr. 20, 2026",Mar. 30,Mar. 30,PAYMENT APPLIED THANK YOU,-181.53
"Mar. 21, 2026 - Apr. 20, 2026",Apr. 8,Apr. 8,PAYMENT RECEIVED - THANK YOU,-20.0
"Mar. 21, 2026 - Apr. 20, 2026",Apr. 20,Apr. 20,INTEREST ADVANCES @ 09.94000% TO 20 APR,101.07
"Mar. 21, 2026 - Apr. 20, 2026",Apr. 20,Apr. 20,INTEREST PURCHASES @ 09.94000% TO 20APR,0.0
"Apr. 21, 2026 - May 20, 2026",Apr. 22,Apr. 22,PAYMENT RECEIVED - THANK YOU,-20.0
"Apr. 21, 2026 - May 20, 2026",Apr. 28,Apr. 28,PAYMENT APPLIED - THANK YOU,-202.57
"Apr. 21, 2026 - May 20, 2026",May 6,May 6,PAYMENT RECEIVED - THANK YOU,-20.0
"Apr. 21, 2026 - May 20, 2026",May 20,May 20,PAYMENT RECEIVED - THANK YOU,-20.0
"Apr. 21, 2026 - May 20, 2026",May 20,May 20,INTEREST ADVANCES @ 09.94000% TO 20 MAY,96.58
"Apr. 21, 2026 - May 20, 2026",May 20,May 20,INTEREST PURCHASES @ 09.94000% TO 20MAY,0.0
"May 21, 2026 - Jun. 20, 2026",May 28,May 28,PAYMENT APPLIED THANK YOU,-200.16
"May 21, 2026 - Jun. 20, 2026",Jun. 3,Jun. 3,PAYMENT RECEIVED THANK YOU,-20.0
"May 21, 2026 - Jun. 20, 2026",Jun. 17,Jun. 17,PAYMENT RECEIVED - THANK YOU,-20.0
"May 21, 2026 - Jun. 20, 2026",Jun. 19,Jun. 19,PAYMENT RECEIVED THANK YOU,-1300.0
"May 21, 2026 - Jun. 20, 2026",Jun. 20,Jun. 20,INTEREST ADVANCES @ 09.94000% TO 20 JUN,97.82
"May 21, 2026 - Jun. 20, 2026",Jun. 20,Jun. 20,INTEREST PURCHASES @ 09.94000% TO 20JUN,0.0
