Statement Period,Statement Date,Transaction Date,Posting Date,Reference Number,Details,Amount (CAD),Type
2026-03-17 to 2026-04-16,2026-04-16,2026-03-18,2026-03-20,1,HAKKA BOYZ MISSISSAUGA MISSISSAUGA ON,55.34,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-19,2026-03-19,9002,SQ DELHI MOMOS-DOWNTOWBrampton ON,21.44,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-19,2026-03-20,3,HAKKA BOYZ MISSISSAUGA MISSISSAUGA ON,-16.94,Refund
2026-03-17 to 2026-04-16,2026-04-16,2026-03-19,2026-03-20,4,ZAITS MILTON ON,11.35,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-20,2026-03-20,5,WATAN KABOB MISSISSAUGA ON,4.19,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-20,2026-03-22,9006,CHAI PANI MISSISSAUGA ON,41.71,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-24,2026-03-25,7,TIM HORTONS #8479 CONCORD ON,0.11,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-25,2026-03-26,8,TIM HORTONS #8479 CONCORD ON,7.48,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-03-25,2026-03-26,9,TIM HORTONS #8479 CONCORD ON,0.21,Purchase
2026-03-17 to 2026-04-16,2026-04-16,2026-04-10,2026-04-10,10,SCOTIABANK TRANSIT 00802 PETERBOROUGH ON,-7.77,Payment
2026-03-17 to 2026-04-16,2026-04-16,2026-04-16,2026-04-16,11,INTEREST CHARGES- PURCHASE,0.11,Interest
2026-04-17 to 2026-05-16,2026-05-16,2026-04-24,2026-04-27,1,WAL-MART SUPERCENTER#3135BRAMPTON ON,390.93,Purchase
2026-04-17 to 2026-05-16,2026-05-16,2026-04-26,2026-04-27,2,TIM HORTONS #8479 CONCORD ON,11.95,Purchase
2026-04-17 to 2026-05-16,2026-05-16,2026-04-29,2026-05-01,3,SHELL C21743 BRAMPTON ON,76.14,Purchase
2026-04-17 to 2026-05-16,2026-05-16,2026-04-30,2026-05-01,4,Gupshup BRAMPTON ON,15.22,Purchase
2026-04-17 to 2026-05-16,2026-05-16,2026-04-30,2026-05-01,5,GREEN PEPPER BRAMPTON ON,58.77,Purchase
2026-04-17 to 2026-05-16,2026-05-16,2026-05-07,2026-05-07,6,SCOTIABANK TRANSIT 00802 PETERBOROUGH ON,-10.11,Payment
2026-04-17 to 2026-05-16,2026-05-16,2026-05-16,2026-05-16,7,INTEREST CHARGES-PURCHASE,4.36,Interest
2026-05-17 to 2026-06-16,2026-06-16,2026-06-10,2026-06-10,1,SCOTIABANK TRANSIT 00802 PETERBOROUGH ON,-14.36,Payment
2026-05-17 to 2026-06-16,2026-06-16,2026-06-16,2026-06-16,2,INTEREST CHARGES-PURCHASE,19.58,Interest
