Statement Date,Transaction Date,Posting Date,Card Ending,Activity Description,Amount ($)
2026-05-14,2026-05-01,2026-05-04,6227,"AKR Tech Park, Block Bangalore Ru FOREIGN CURRENCY 25,006.00 INR @EXCHANGE RATE 0.01480",370.12
2026-05-14,2026-05-02,2026-05-04,6227,SOUTH AMERICANA GROWERS I MISSISSAUGA,15.0
2026-05-14,2026-05-03,2026-05-04,6227,TIM HORTONS #8479 CONCORD,6.31
2026-05-14,2026-05-04,2026-05-05,6227,COACH HALIFAX,118.65
2026-05-14,2026-05-04,2026-05-05,6227,OSMOW'S SHAWARMA WOODBRIDGE,17.28
2026-05-14,2026-05-01,2026-05-11,6227,"AKR Tech Park, Block Bangalore Ru FOREIGN CURRENCY 7,195.84 INR @EXCHANGE RATE 0.01404",-101.07
2026-05-14,2026-05-08,2026-05-11,6227,SQ *CHATORI GALI AT KENNE Brampton,11.83
2026-05-14,2026-05-01,2026-05-12,6227,"AKR Tech Park, Block Bangalore Ru FOREIGN CURRENCY 678.71 INR @EXCHANGE RATE 0.01396",-9.48
2026-05-14,2026-05-01,2026-05-12,6227,"AKR Tech Park, Block Bangalore Ru FOREIGN CURRENCY 960.57 INR @EXCHANGE RATE 0.01396",-13.41
2026-05-14,2026-05-01,2026-05-12,6227,"AKR Tech Park, Block Bangalore Ru FOREIGN CURRENCY 2,634.84 INR @EXCHANGE RATE 0.01395",-36.78
2026-05-14,2026-05-12,2026-05-13,6227,OSMOW'S SHAWARMA WOODBRIDGE,17.28
2026-05-14,2026-05-14,2026-05-14,6227,RETAIL INTEREST,0.78
2026-05-14,2026-04-29,2026-04-28,5074,SCOTIABANK PAYMENT MOBILE,-94.0
2026-06-15,2026-05-19,2026-05-19,6227,SHEIN ONTARIO,37.97
2026-06-15,2026-05-19,2026-05-19,6227,SHEIN ONTARIO,1.92
2026-06-15,2026-05-19,2026-05-19,6227,SHEIN ONTARIO,25.78
2026-06-15,2026-05-27,2026-05-27,6227,SHEIN ONTARIO,56.1
2026-06-15,2026-05-27,2026-05-28,6227,APPLE.COM/BILL 866-712-7753,16.95
2026-06-15,2026-06-02,2026-06-03,6227,SHENDUQRWEA 186588509.11 FOREIGN CURRENCY 2.12 USD @EXCHANGE RATE 1.41981,3.01
2026-06-15,2026-05-01,2026-06-04,6227,"AKR Tech Park, Block Bangalore Ru FOREIGN CURRENCY 622.72 INR @EXCHANGE RATE 0.01408",-8.77
2026-06-15,2026-06-11,2026-06-12,6227,BATTLEDORE BADMINTON A WOODBRIDGE,4.52
2026-06-15,2026-06-15,2026-06-15,6227,RETAIL INTEREST,12.63
2026-07-14,2026-06-19,2026-06-22,6227,TIM HORTONS #0556 BRAMPTON,5.18
2026-07-14,2026-06-21,2026-06-22,6227,UBER CANADA/UBEREATS TORONTO,14.97
2026-07-14,2026-07-14,2026-07-14,6227,RETAIL INTEREST,6.58
2026-07-14,2026-07-09,2026-07-10,5074,SCOTIABANK PAYMENT MOBILE,-565.98
