Statement Date,Transaction Date,Posting Date,Card Ending,Activity Description,Amount ($)
2026-04-20,2026-03-20,2026-03-23,1234,IC INSTACART HALIFAX MID-HNS,39.29
2026-04-20,2026-03-20,2026-03-23,1234,IC INSTACART HALIFAX MID-HNS,15.71
2026-04-20,2026-03-20,2026-03-23,1234,IC INSTACART HALIFAX MID-HNS,3.12
2026-04-20,2026-03-28,2026-03-28,1234,IC INSTACART HALIFAX MID-HNS,170.98
2026-04-20,2026-03-28,2026-03-30,1234,APPLE.COM/BILL TORONTO ON,2.81
2026-04-20,2026-03-31,2026-03-31,1234,FREEDOM MOBILE TORONTO ON,115.44
2026-04-20,2026-04-01,2026-04-02,1234,GOOGLE CLOUD X45X57 CC GOOGLE.COMNS,0.03
2026-04-20,2026-04-11,2026-04-13,1234,IC INSTACART HALIFAX MID-HNS,30.26
2026-04-20,2026-04-13,2026-04-14,1234,IC INSTACART HALIFAX MID-HNS,179.1
2026-04-20,2026-04-20,2026-04-20,1234,INTEREST CHARGES,42.18
2026-05-20,2026-04-28,2026-04-29,1234,CTFS.COM/PAYMENTS OAKVILLE ON,-1000.0
2026-05-20,2026-05-01,2026-05-04,1234,GOOGLE CLOUD VQR46H CC GOOGLE.COMNS,0.03
2026-05-20,2026-05-06,2026-05-07,1234,IC INSTACART HALIFAX MID-HNS,37.7
2026-05-20,2026-05-06,2026-05-07,1234,IC INSTACART HALIFAX MID-HNS,0.17
2026-05-20,2026-05-09,2026-05-11,1234,aliexpress Toronto ON,20.44
2026-05-20,2026-05-09,2026-05-11,1234,aliexpress Toronto ON,1.38
2026-05-20,2026-05-09,2026-05-11,1234,aliexpress Toronto ON,109.89
2026-05-20,2026-05-10,2026-05-11,1234,SHEIN.COM Toronto ON,23.74
2026-05-20,2026-05-10,2026-05-11,1234,SHEIN.COM Toronto ON,45.07
2026-05-20,2026-05-12,2026-05-12,1234,AMZN Mktp CA BF31H7EV1 TORONTO ON,25.38
2026-05-20,2026-05-12,2026-05-12,1234,AMZN Mktp CA 3T9ET8QC3 TORONTO ON,12.4
